cod_ibge,funcionarios_2015,funcionarios_estatutarios_2015
2415008,266,70
2500106,403,274
2500205,358,175
2500304,1205,964
2500403,719,500
2500502,457,358
2500536,377,262
2500577,305,212
2500601,1481,557
2500700,710,510
2500734,328,254
2500775,360,250
2500809,897,0
2500908,529,389
2501005,1026,695
2501104,777,649
2501153,154,100
2501203,376,234
2501302,1212,594
2501351,281,177
2501401,587,192
2501500,1082,779
2501534,288,239
2501575,475,346
2501609,721,535
2501708,358,206
2501807,3132,1740
2501906,927,335
2502003,415,229
2502052,297,231
2502102,430,180
2502151,475,372
2502201,189,110
2502300,322,271
2502409,494,389
2502508,910,507
2502607,463,322
2502706,418,275
2502805,633,365
2502904,374,261
2503001,1528,1162
2503100,313,201
2503209,4099,2187
2503308,365,283
2503407,315,209
2503506,767,453
2503555,365,281
2503605,452,302
2503704,1658,1413
2503753,250,182
2503803,413,188
2503902,275,221
2504009,14416,8163
2504033,409,279
2504074,219,116
2504108,281,225
2504157,408,0
2504207,294,151
2504306,1007,790
2504355,335,186
2504405,827,546
2504504,376,278
2504603,1844,648
2504702,314,193
2504801,696,214
2504850,133,84
2504900,689,366
2505006,464,327
2505105,952,665
2505204,388,229
2505238,374,316
2505279,329,283
2505303,224,109
2505352,338,247
2505402,271,185
2505501,308,242
2505600,308,193
2505709,462,328
2505808,313,185
2505907,280,220
2506004,1325,715
2506103,540,448
2506202,243,183
2506251,513,339
2506301,1881,1435
2506400,716,490
2506509,313,169
2506608,309,240
2506707,536,403
2506806,948,529
2506905,1393,753
2507002,942,584
2507101,877,664
2507200,514,228
2507309,791,479
2507408,503,330
2507507,23084,9010
2507606,449,316
2507705,1107,915
2507804,371,268
2507903,592,227
2508000,484,354
2508109,345,226
2508208,538,87
2508307,1160,870
2508406,255,164
2508505,419,320
2508554,244,173
2508604,723,525
2508703,279,188
2508802,309,242
2508901,1680,1164
2509008,473,264
2509057,566,279
2509107,865,597
2509156,342,190
2509206,607,455
2509305,599,0
2509339,310,98
2509370,250,153
2509396,368,135
2509404,602,432
2509503,349,199
2509602,232,140
2509701,1352,1017
2509800,497,350
2509909,645,372
2510006,345,299
2510105,434,0
2510204,370,283
2510303,323,278
2510402,448,353
2510501,279,137
2510600,260,116
2510659,248,144
2510709,303,203
2510808,3309,2293
2510907,480,403
2511004,216,190
2511103,532,461
2511202,1320,551
2511301,1243,691
2511400,822,734
2511509,681,400
2511608,363,267
2511707,286,164
2511806,463,382
2511905,942,456
2512002,928,651
2512036,302,228
2512077,405,292
2512101,874,620
2512200,309,174
2512309,902,714
2512408,522,407
2512507,1957,896
2512606,182,121
2512705,869,542
2512721,365,306
2512747,364,206
2512754,369,280
2512762,339,221
2512788,266,137
2512804,419,193
2512903,1220,804
2513000,241,150
2513109,696,505
2513158,368,249
2513208,316,244
2513307,363,212
2513356,329,215
2513406,720,408
2513505,375,289
2513604,363,283
2513653,306,210
2513703,3121,3121
2513802,337,237
2513851,213,99
2513901,1138,855
2513927,264,117
2513943,183,105
2513968,227,152
2513984,214,155
2514008,309,198
2514107,303,168
2514206,359,244
2514305,326,195
2514404,274,221
2514453,457,212
2514503,1007,525
2514552,212,156
2514602,112,84
2514651,234,179
2514701,284,206
2514800,257,174
2514909,537,361
2515005,483,213
2515104,600,390
2515203,250,132
2515302,1873,945
2515401,447,345
2515500,515,344
2515609,314,243
2515708,272,172
2515807,429,315
2515906,310,204
2515930,390,268
2515971,426,268
2516003,1025,654
2516102,643,545
2516151,297,0
2516201,2303,1540
2516300,715,426
2516409,537,277
2516508,664,435
2516607,704,488
2516706,664,416
2516755,268,220
2516805,445,312
2516904,762,369
2517001,574,390
2517100,263,200
2517209,344,201
2517407,185,93
2600054,2252,545
2600104,1094,693
2600203,947,442
2600302,1116,530
2600401,1625,790
2600500,1361,828
2600609,796,343
2600708,1490,948
2600807,634,304
2600906,1052,675
2601003,235,182
2601052,842,385
2601102,3094,1899
2601201,1498,1205
2601300,487,289
2601409,1604,992
2601508,453,167
2601607,934,745
2601706,3054,1453
2601805,527,418
2601904,1764,1226
2602001,1665,1159
2602100,1515,897
2602209,1528,751
2602308,1381,805
2602407,588,291
2602506,418,130
2602605,2040,1245
2602704,454,392
2602803,1901,966
2602902,6483,4260
2603009,1801,961
2603108,719,532
2603207,1218,370
2603306,884,538
2603405,366,221
2603454,3208,1856
2603504,670,569
2603603,556,253
2603702,964,614
2603801,957,600
2603900,925,726
2603926,564,244
2604007,2192,1292
2604106,8480,3137
2604155,773,509
2604205,1022,846
2604304,616,458
2604403,544,216
2604502,994,747
2604601,842,478
2604700,877,463
2604809,725,426
2604908,794,477
2605004,1310,613
2605103,1408,792
2605152,782,521
2605202,1888,1171
2605301,1457,1259
2605400,848,621
2605459,472,0
2605509,448,348
2605608,785,395
2605707,1801,504
2605806,511,294
2605905,1270,691
2606002,3867,1731
2606101,946,569
2606200,2651,1801
2606309,416,288
2606408,2592,1380
2606507,919,458
2606606,1136,645
2606705,596,216
2606804,2150,872
2606903,480,331
2607000,951,617
2607109,370,190
2607208,4940,2653
2607307,1748,856
2607406,747,301
2607505,887,499
2607604,1121,435
2607653,1541,560
2607703,425,168
2607752,1176,777
2607802,962,275
2607901,10656,5769
2607950,515,268
2608008,821,395
2608057,651,396
2608107,1923,583
2608206,826,482
2608255,582,237
2608305,740,407
2608404,627,278
2608453,843,504
2608503,961,507
2608602,748,383
2608701,596,358
2608750,1067,613
2608800,1474,799
2608909,1763,1482
2609006,1108,587
2609105,761,363
2609154,846,612
2609204,544,161
2609303,761,449
2609402,1464,1042
2609501,1219,786
2609600,7182,3936
2609709,1114,634
2609808,823,351
2609907,2481,1038
2610004,1899,794
2610103,576,283
2610202,1433,457
2610301,916,440
2610400,1114,603
2610509,1105,741
2610608,1650,938
2610707,5268,3159
2610806,922,469
2610905,1474,783
2611002,1715,945
2611101,6627,3630
2611200,493,408
2611309,906,570
2611408,793,253
2611507,835,709
2611533,309,241
2611606,23400,19065
2611705,893,380
2611804,1536,984
2611903,983,616
2612000,649,337
2612109,422,200
2612208,1507,1067
2612307,978,284
2612406,920,624
2612455,790,464
2612471,535,432
2612505,1934,867
2612554,555,269
2612604,1532,1342
2612703,450,242
2612802,493,306
2612901,703,463
2613008,1936,1139
2613107,1604,815
2613206,1115,369
2613305,1081,499
2613404,923,418
2613503,1580,1030
2613602,1148,531
2613701,2834,899
2613800,730,479
2613909,2774,1811
2614006,993,484
2614105,1308,875
2614204,1364,775
2614303,608,563
2614402,343,287
2614501,1947,1112
2614600,883,542
2614709,514,408
2614808,1089,578
2614857,1032,345
2615003,934,484
2615102,453,189
2615201,430,354
2615300,1923,1048
