cod_ibge,enrolment_pvt_ef1_2012,enrolment_pvt_2012,enrolment_mun_ef1_2012,enrolment_total_ef1_2012,ratio_enrolment_pvt_mun_2012,share_enrolment_pvt_2012,share_enrolment_mun_2012
510267,413.0,939.0,3141.0,5341.0,0.1314867876472461,0.07732634338138926,0.5880921175809773
510268,0.0,0.0,801.0,1011.0,0.0,0.0,0.7922848664688428
510269,0.0,0.0,361.0,896.0,0.0,0.0,0.4029017857142857
510270,208.0,364.0,1307.0,3493.0,0.15914307574598316,0.05954766676209562,0.3741769252791297
510279,3.0,42.0,1094.0,1719.0,0.002742230347349177,0.0017452006980802793,0.6364165212332752
510285,0.0,0.0,564.0,1296.0,0.0,0.0,0.4351851851851852
510300,158.0,240.0,1779.0,3066.0,0.08881394041596402,0.051532941943900845,0.5802348336594912
510305,96.0,186.0,969.0,1849.0,0.09907120743034056,0.05191995673336939,0.5240670632774472
510310,0.0,0.0,458.0,955.0,0.0,0.0,0.47958115183246075
510320,330.0,832.0,2163.0,4274.0,0.15256588072122051,0.0772110435189518,0.5060832943378568
510325,40.0,57.0,4087.0,5193.0,0.009787129924149743,0.007702676680146351,0.7870209897939534
510330,105.0,211.0,2083.0,3419.0,0.050408065290446474,0.030710734132787364,0.6092424685580579
510335,71.0,121.0,2401.0,4687.0,0.029571012078300707,0.015148282483464903,0.5122679752506935
510336,0.0,0.0,414.0,603.0,0.0,0.0,0.6865671641791045
510337,0.0,0.0,1323.0,2443.0,0.0,0.0,0.5415472779369628
510340,17939.0,33536.0,28819.0,77901.0,0.6224712863041744,0.23027945725985546,0.3699439031591379
510343,0.0,0.0,399.0,830.0,0.0,0.0,0.4807228915662651
510345,18.0,34.0,629.0,1431.0,0.028616852146263912,0.012578616352201259,0.4395527603074773
510350,221.0,357.0,1274.0,3213.0,0.17346938775510204,0.06878306878306878,0.39651416122004357
510360,0.0,0.0,270.0,1079.0,0.0,0.0,0.25023169601482853
510370,49.0,79.0,1499.0,1665.0,0.03268845897264843,0.02942942942942943,0.9003003003003003
510380,0.0,0.0,60.0,558.0,0.0,0.0,0.10752688172043011
510385,0.0,0.0,505.0,1818.0,0.0,0.0,0.2777777777777778
510390,83.0,116.0,275.0,1282.0,0.3018181818181818,0.06474258970358815,0.21450858034321374
510395,0.0,0.0,215.0,448.0,0.0,0.0,0.4799107142857143
510410,297.0,522.0,3300.0,5103.0,0.09,0.0582010582010582,0.6466784244562023
510420,2.0,2.0,378.0,1438.0,0.005291005291005291,0.0013908205841446453,0.26286509040333794
510450,0.0,0.0,385.0,385.0,0.0,0.0,1.0
510452,0.0,0.0,489.0,903.0,0.0,0.0,0.5415282392026578
510454,0.0,0.0,576.0,1072.0,0.0,0.0,0.5373134328358209
510455,4.0,63.0,457.0,797.0,0.0087527352297593,0.005018820577164366,0.5734002509410289
510460,0.0,0.0,1412.0,1923.0,0.0,0.0,0.734269370774831
510480,300.0,602.0,1096.0,3998.0,0.2737226277372263,0.0750375187593797,0.2741370685342671
510490,0.0,0.0,218.0,1416.0,0.0,0.0,0.153954802259887
510500,0.0,0.0,514.0,1695.0,0.0,0.0,0.3032448377581121
510510,271.0,537.0,1178.0,5029.0,0.2300509337860781,0.05388745277391131,0.23424139988069198
510515,532.0,873.0,1636.0,6329.0,0.3251833740831296,0.08405751303523464,0.25849265286775164
510517,0.0,0.0,1176.0,1707.0,0.0,0.0,0.6889279437609842
510520,0.0,0.0,366.0,1618.0,0.0,0.0,0.22620519159456118
510523,0.0,0.0,490.0,867.0,0.0,0.0,0.5651672433679354
510525,952.0,1881.0,5112.0,7237.0,0.18622848200312989,0.13154622080972778,0.706370042835429
510530,0.0,0.0,39.0,360.0,0.0,0.0,0.10833333333333334
510550,0.0,0.0,2129.0,2825.0,0.0,0.0,0.7536283185840708
510558,122.0,224.0,919.0,2155.0,0.13275299238302501,0.05661252900232019,0.42645011600928073
510560,9.0,59.0,987.0,2520.0,0.00911854103343465,0.0035714285714285713,0.39166666666666666
510562,135.0,184.0,943.0,3656.0,0.14316012725344646,0.036925601750547044,0.25793216630196936
510590,260.0,433.0,1360.0,2667.0,0.19117647058823528,0.09748781402324709,0.509936257967754
510600,12.0,32.0,267.0,819.0,0.0449438202247191,0.014652014652014652,0.326007326007326
510610,12.0,46.0,839.0,1747.0,0.014302741358760428,0.006868918145392101,0.48025186033199774
